Approx. Rank,Journal Title,Publisher,Publisher Category
1,Foundations and Trends in Machine Learning,Now Publishers Inc.,Private Commercial
2,International Journal of Information Management,Elsevier Ltd.,Private Commercial
3,Science Robotics,American Association for the Advancement of Science (AAAS),Association/Society
4,Nature Machine Intelligence,Springer Nature,Private Commercial
5,Management Science,INFORMS (Institute for Operations Research and the Management Sciences),Association/Society
6,Computers and Education: Artificial Intelligence,Elsevier,Private Commercial
7,Information Systems Research,INFORMS,Association/Society
8,Annals of Statistics,Institute of Mathematical Statistics (IMS),Association/Society
9,MIS Quarterly: Management Information Systems,University of Minnesota (MIS Research Center),University Press*
10,IEEE Transactions on Pattern Analysis and Machine Intelligence,Institute of Electrical and Electronics Engineers (IEEE),Association/Society
11,IEEE/CAA Journal of Automatica Sinica,IEEE / Chinese Association of Automation,Association/Society
12,Journal of the American Statistical Association,Taylor \& Francis (on behalf of ASA),Private Commercial**
13,IEEE Transactions on Neural Networks and Learning Systems,IEEE,Association/Society
14,Journal of Management Information Systems,Taylor \& Francis,Private Commercial
15,Biometrika,Oxford University Press (for Biometrika Trust),University Press***
16,IEEE Transactions on Fuzzy Systems,IEEE,Association/Society
17,European Journal of Information Systems,Taylor \& Francis,Private Commercial
18,Production and Operations Management,Wiley (on behalf of POMS),Private Commercial**
19,Journal of the Royal Statistical Society. Series B: Statistical Methodology,Wiley-Blackwell (on behalf of RSS),Private Commercial**
20,Journal of Statistical Software,Foundation for Statistical Computing,Other/Joint Venture
